Date,100K,100K-1M,1M-5M,5M+,Value
11-May,117972,5542,115,13,3.36
18-May,206121,9294,223,23,5.7
25-May,271008,12579,410,41,7.9
01-Jun,307687,14623,540,55,9.36
08-Jun,331440,15850,670,80,10.5
15-Jun,431770,20670,820,90,13.28
29-Jun,527990,26610,1140,120,17.09
06-Jul,552500,27920,1250,130,18.01
13-Jul,634020,31890,1350,140,20.38
21-Jul,687390,35000,1460,150,22.26
26-Jul,709180,36690,1580,170,23.91
02-Aug,744980,38630,1750,190,25.51
09-Aug,771570,39930,1870,210,26.58
16-Aug,796830,41280,1950,220,27.53
23-Aug,863700,44990,2010,240,29.92
30-Aug,915620,47780,2110,260,31.73
06-Sep,971260,50490,2320,270,33.71
13-Sep,1025540,53010,2420,270,35.31
20-Sep,1085130,55970,2580,290,37.44
27-Sep,1137005,58340,2750,305,39.28
04-Oct,1188880,60710,2920,320,41.12
