date.y,CA_ratio,CA_19,CA_20,CA_21
01-Feb,0%,100,100,null
02-Feb,0%,100.12,100.1,null
03-Feb,0%,100.09,100.33,null
04-Feb,0%,100.21,100.39,null
05-Feb,0%,100.25,100.49,null
06-Feb,0%,100.28,100.6,null
07-Feb,0%,100.36,100.78,null
08-Feb,1%,100.58,101.11,null
09-Feb,1%,100.71,101.4,null
10-Feb,1%,100.92,101.47,null
11-Feb,1%,101.07,101.73,null
12-Feb,1%,101.29,101.97,null
13-Feb,1%,101.46,102.12,null
14-Feb,1%,101.62,102.16,null
15-Feb,0%,101.84,102.01,null
16-Feb,0%,101.87,102.03,null
17-Feb,0%,102.06,102.03,null
18-Feb,0%,102.29,101.91,null
19-Feb,-1%,102.32,101.76,null
20-Feb,-1%,102.34,101.68,null
21-Feb,-1%,102.38,101.66,null
22-Feb,-1%,102.42,101.65,null
23-Feb,-1%,102.51,101.64,null
24-Feb,-1%,102.41,101.62,null
25-Feb,-1%,102.33,101.73,null
26-Feb,-1%,102.46,101.89,null
27-Feb,-1%,102.66,102.08,null
28-Feb,-1%,102.87,102.23,null
01-Mar,0%,102.81,102.46,null
02-Mar,0%,102.88,102.46,null
03-Mar,-1%,102.96,102.44,null
04-Mar,-1%,103,102.35,null
05-Mar,-1%,103.04,102.28,null
06-Mar,0%,102.55,102.2,null
07-Mar,-1%,102.66,102.09,null
08-Mar,-1%,102.99,102.15,null
09-Mar,-1%,103.43,102.22,null
10-Mar,-1%,103.87,102.4,null
11-Mar,-2%,104.34,102.62,null
12-Mar,-2%,104.79,102.81,null
13-Mar,-3%,105.71,102.95,null
14-Mar,-3%,106.05,103.13,null
15-Mar,-3%,106.51,103.08,null
16-Mar,-4%,106.81,102.94,null
17-Mar,-5%,107.18,102.32,null
18-Mar,-6%,107.57,101.26,null
19-Mar,-7%,107.88,99.83,null
20-Mar,-9%,108.09,98.07,null
21-Mar,-12%,108.33,95.68,null
22-Mar,-14%,108.53,93.5,null
23-Mar,-16%,108.89,91.33,null
24-Mar,-18%,109.11,89.03,null
25-Mar,-21%,109.34,86.92,null
26-Mar,-23%,109.62,84.86,null
27-Mar,-25%,110,82.65,null
28-Mar,-27%,110.26,80.94,null
29-Mar,-28%,110.57,79.08,null
30-Mar,-30%,110.79,77.29,null
31-Mar,-32%,110.89,75.74,null
01-Apr,-33%,110.74,74.12,null
02-Apr,-34%,110.64,72.53,null
03-Apr,-35%,110.54,71.31,null
04-Apr,-37%,110.55,70.03,null
05-Apr,-38%,110.5,68.8,null
06-Apr,-39%,110.5,67.56,null
07-Apr,-40%,110.64,66.31,null
08-Apr,-41%,110.98,65.31,null
09-Apr,-42%,111.28,64.39,null
10-Apr,-43%,111.6,63.48,null
11-Apr,-44%,111.85,62.73,null
12-Apr,-45%,111.95,61.91,null
13-Apr,-45%,111.92,61.12,null
14-Apr,-46%,112.03,60.48,null
15-Apr,-47%,112.13,59.63,null
16-Apr,-47%,112.17,58.95,null
17-Apr,-48%,112.12,58.36,null
18-Apr,-48%,112.12,57.88,null
19-Apr,-49%,112.21,57.28,null
20-Apr,-49%,112.11,57,null
21-Apr,-49%,111.91,56.78,null
22-Apr,-49%,111.77,56.75,null
23-Apr,-49%,111.39,56.65,null
24-Apr,-49%,111.08,56.6,null
25-Apr,-49%,111.08,56.67,null
26-Apr,-49%,111.15,56.94,null
27-Apr,-49%,111.2,56.97,null
28-Apr,-49%,111.23,57.02,null
29-Apr,-49%,111.18,57.09,null
30-Apr,-49%,111.28,57.16,null
01-May,-49%,111.37,57.15,null
02-May,-49%,111.12,57.09,null
03-May,-49%,110.73,56.85,null
04-May,-49%,110.81,56.76,null
05-May,-49%,110.83,56.75,null
06-May,-49%,110.81,56.66,null
07-May,-49%,110.93,56.68,null
08-May,-49%,111.05,56.82,null
09-May,-49%,111.17,57.06,null
10-May,-48%,111.19,57.42,null
11-May,-48%,110.99,57.63,null
12-May,-48%,110.98,57.77,null
13-May,-48%,111.03,57.89,null
14-May,-48%,111.09,57.94,null
15-May,-48%,111.18,58.13,null
16-May,-48%,111.26,58.05,null
17-May,-48%,111.41,57.98,null
18-May,-48%,111.49,57.91,null
19-May,-48%,111.52,57.78,null
20-May,-48%,111.6,58,null
21-May,-48%,111.51,58.38,null
22-May,-47%,111.35,58.63,null
23-May,-47%,111.21,59.1,null
24-May,-47%,111.18,59.42,null
25-May,-46%,111.3,59.74,null
26-May,-46%,111.26,60.14,null
27-May,-46%,111.23,60.38,null
28-May,-46%,111.37,60.52,null
29-May,-45%,111.55,60.8,null
30-May,-45%,111.75,61.25,null
31-May,-45%,111.86,61.51,null
01-Jun,-45%,111.8,61.78,null
02-Jun,-44%,111.63,62.03,null
03-Jun,-44%,111.4,62.28,null
04-Jun,-44%,111.19,62.5,null
05-Jun,-43%,110.93,62.76,null
06-Jun,-43%,110.66,62.98,null
07-Jun,-43%,110.45,63.46,null
08-Jun,-42%,110.34,63.85,null
09-Jun,-42%,110.39,64.31,null
10-Jun,-41%,110.47,64.8,null
11-Jun,-41%,110.52,65.29,null
12-Jun,-41%,110.65,65.64,null
13-Jun,-41%,110.82,65.78,null
14-Jun,-40%,110.97,66.16,null
15-Jun,-40%,110.6,66.58,null
16-Jun,-40%,110.67,66.95,null
17-Jun,-39%,110.7,67.36,null
18-Jun,-39%,110.68,67.76,null
19-Jun,-38%,110.65,68.2,null
20-Jun,-38%,110.56,68.78,null
21-Jun,-37%,110.43,69.14,null
22-Jun,-37%,110.94,69.5,null
23-Jun,-37%,110.92,69.84,null
24-Jun,-37%,110.93,70.15,null
25-Jun,-37%,110.87,70.39,null
26-Jun,-36%,110.75,70.58,null
27-Jun,-36%,110.59,70.83,null
28-Jun,-36%,110.45,71.02,null
29-Jun,-35%,110.3,71.21,null
30-Jun,-35%,110.1,71.31,null
01-Jul,-35%,109.8,71.25,null
02-Jul,-35%,109.37,71.11,null
03-Jul,-35%,108.93,70.97,null
04-Jul,-35%,108.49,70.82,null
05-Jul,-35%,108.06,70.62,null
06-Jul,-35%,107.66,70.43,null
07-Jul,-34%,107.31,70.39,null
08-Jul,-34%,107.07,70.56,null
09-Jul,-34%,107.07,70.93,null
10-Jul,-33%,107.13,71.35,null
11-Jul,-33%,107.26,71.67,null
12-Jul,-33%,107.36,72.11,null
13-Jul,-32%,107.24,72.56,null
14-Jul,-32%,107.39,72.98,null
15-Jul,-32%,107.51,73.32,null
16-Jul,-32%,107.59,73.66,null
17-Jul,-31%,107.69,73.98,null
18-Jul,-31%,107.77,74.04,null
19-Jul,-31%,107.82,74.31,null
20-Jul,-31%,107.81,74.58,null
21-Jul,-31%,107.84,74.84,null
22-Jul,-30%,107.83,75.17,null
23-Jul,-30%,107.82,75.44,null
24-Jul,-30%,107.68,75.73,null
25-Jul,-29%,107.5,76.4,null
26-Jul,-28%,107.04,76.78,null
27-Jul,-28%,106.86,77.17,null
28-Jul,-27%,106.45,77.55,null
29-Jul,-27%,106.14,77.91,null
30-Jul,-26%,106.29,78.31,null
31-Jul,-26%,106.38,78.54,null
01-Aug,-26%,106.49,78.59,null
02-Aug,-26%,106.96,78.63,null
03-Aug,-27%,107.4,78.68,null
04-Aug,-27%,107.82,78.62,null
05-Aug,-27%,108.17,78.56,null
06-Aug,-27%,107.93,78.48,null
07-Aug,-27%,107.9,78.55,null
08-Aug,-27%,107.98,78.8,null
09-Aug,-27%,108.06,79.07,null
10-Aug,-27%,108.15,79.3,null
11-Aug,-26%,108.24,79.68,null
12-Aug,-26%,108.33,79.94,null
13-Aug,-26%,108.62,80.16,null
14-Aug,-26%,108.9,80.54,null
15-Aug,-26%,109.13,80.55,null
16-Aug,-26%,109.34,80.8,null
17-Aug,-26%,109.37,81.11,null
18-Aug,-26%,109.58,81.35,null
19-Aug,-25%,109.78,81.83,null
20-Aug,-25%,109.96,82.3,null
21-Aug,-25%,110.17,82.61,null
22-Aug,-25%,110.37,83.25,null
23-Aug,-24%,110.58,83.7,null
24-Aug,-24%,110.95,84.09,null
25-Aug,-24%,111.18,84.59,null
26-Aug,-24%,111.44,84.87,null
27-Aug,-24%,111.63,85.17,null
28-Aug,-23%,111.76,85.56,null
29-Aug,-23%,111.82,85.88,null
30-Aug,-23%,111.93,86.19,null
31-Aug,-23%,111.88,86.46,null
01-Sep,-23%,111.74,86.42,null
02-Sep,-22%,111.54,86.57,null
03-Sep,-22%,111.17,86.66,null
04-Sep,-22%,110.91,86.69,null
05-Sep,-22%,110.72,86.78,null
06-Sep,-21%,110.49,86.81,null
07-Sep,-21%,110.32,87.04,null
08-Sep,-21%,110.29,87.29,null
09-Sep,-21%,110.31,87.46,null
10-Sep,-21%,110.54,87.69,null
11-Sep,-21%,110.74,87.96,null
12-Sep,-21%,110.93,88.07,null
13-Sep,-21%,111.26,88.24,null
14-Sep,-21%,111.64,88.28,null
15-Sep,-21%,111.93,88.51,null
16-Sep,-21%,112.19,88.78,null
17-Sep,-21%,112.43,89.02,null
18-Sep,-21%,112.5,89.21,null
19-Sep,-20%,112.49,89.53,null
20-Sep,-20%,112.38,89.81,null
21-Sep,-20%,112.09,90.02,null
22-Sep,-19%,111.98,90.27,null
23-Sep,-19%,111.86,90.45,null
24-Sep,-19%,111.74,90.69,null
25-Sep,-19%,111.69,90.91,null
26-Sep,-18%,111.52,91.12,null
27-Sep,-18%,111.27,91.33,null
28-Sep,-18%,111.09,91.64,null
29-Sep,-17%,110.83,91.88,null
30-Sep,-17%,110.61,92.1,null
01-Oct,-16%,110.25,92.08,null
02-Oct,-16%,109.88,92.04,null
03-Oct,-16%,109.54,91.94,null
04-Oct,-16%,109.34,91.87,null
05-Oct,-16%,109.15,91.79,null
06-Oct,-16%,108.97,91.68,null
07-Oct,-16%,108.79,91.59,null
08-Oct,-16%,108.77,91.76,null
09-Oct,-15%,108.82,92.01,null
10-Oct,-15%,108.94,92.3,null
11-Oct,-15%,108.97,92.59,null
12-Oct,-15%,109.02,92.84,null
13-Oct,-15%,109.04,92.84,null
14-Oct,-15%,109.05,92.8,null
15-Oct,-15%,108.77,92.78,null
16-Oct,-15%,108.41,92.59,null
17-Oct,-15%,108.09,92.34,null
18-Oct,-14%,107.7,92.13,null
19-Oct,-14%,107.02,91.98,null
20-Oct,-14%,106.63,92.21,null
21-Oct,-13%,106.23,92.44,null
22-Oct,-13%,106.01,92.5,null
23-Oct,-13%,105.84,92.59,null
24-Oct,-12%,105.67,92.67,null
25-Oct,-12%,105.49,92.76,null
26-Oct,-12%,105.66,92.74,null
27-Oct,-12%,105.39,92.68,null
28-Oct,-12%,105.13,92.67,null
29-Oct,-12%,104.93,92.84,null
30-Oct,-11%,104.74,92.95,null
31-Oct,-11%,104.45,93.03,null
01-Nov,-11%,104.12,92.91,null
02-Nov,-10%,103.56,92.78,null
03-Nov,-10%,103.22,92.64,null
04-Nov,-10%,102.93,92.51,null
05-Nov,-10%,102.68,92.36,null
06-Nov,-10%,102.45,92.27,null
07-Nov,-10%,102.29,92.25,null
08-Nov,-9%,102.13,92.45,null
09-Nov,-9%,102.14,92.7,null
10-Nov,-9%,102.06,92.86,null
11-Nov,-9%,102,92.99,null
12-Nov,-9%,101.84,93.13,null
13-Nov,-8%,101.58,93.19,null
14-Nov,-8%,101.34,92.95,null
15-Nov,-8%,101.3,92.9,null
16-Nov,-8%,100.86,92.85,null
17-Nov,-8%,100.77,92.78,null
18-Nov,-8%,100.63,92.7,null
19-Nov,-8%,100.52,92.54,null
20-Nov,-8%,100.46,92.5,null
21-Nov,-8%,100.29,92.69,null
22-Nov,-7%,99.94,92.67,null
23-Nov,-7%,99.91,92.72,null
24-Nov,-7%,99.6,92.76,null
25-Nov,-7%,99.32,92.76,null
26-Nov,-6%,99.02,92.86,null
27-Nov,-6%,98.68,92.8,null
28-Nov,-6%,98.39,92.8,null
29-Nov,-6%,98.16,92.68,null
30-Nov,-5%,97.93,92.55,null
01-Dec,-5%,97.56,92.27,null
02-Dec,-5%,97.21,91.94,null
03-Dec,-5%,96.77,91.6,null
04-Dec,-5%,96.41,91.36,null
05-Dec,-5%,96.07,91.14,null
06-Dec,-5%,95.69,90.94,null
07-Dec,-5%,95.34,90.74,null
08-Dec,-5%,95.1,90.73,null
09-Dec,-4%,94.83,90.79,null
10-Dec,-4%,94.6,90.86,null
11-Dec,-4%,94.32,90.82,null
12-Dec,-4%,93.98,90.58,null
13-Dec,-3%,93.64,90.57,null
14-Dec,-3%,93.04,90.51,null
15-Dec,-2%,92.67,90.37,null
16-Dec,-2%,92.3,90.25,null
17-Dec,-2%,91.97,89.96,null
18-Dec,-2%,91.58,89.74,null
19-Dec,-2%,91.2,89.69,null
20-Dec,-1%,90.74,89.46,null
21-Dec,-1%,90.57,89.28,null
22-Dec,-1%,90.22,89.1,null
23-Dec,-1%,89.91,88.77,null
24-Dec,-1%,89.58,88.53,null
25-Dec,-1%,89.25,88.17,null
26-Dec,-1%,88.86,87.75,null
27-Dec,-1%,88.41,87.31,null
28-Dec,-1%,87.91,86.89,null
29-Dec,-1%,87.41,86.4,null
30-Dec,-1%,86.91,86.01,null
31-Dec,-1%,86.5,85.48,null
