date.y,CA_ratio,CA_19,CA_20,CA_21
01-Feb,0%,100,100,null
02-Feb,1%,98.57,100.03,null
03-Feb,3%,97.05,100.27,null
04-Feb,5%,95.8,100.43,null
05-Feb,7%,93.96,100.79,null
06-Feb,9%,93.54,102.12,null
07-Feb,11%,93.3,103.91,null
08-Feb,13%,93.46,105.82,null
09-Feb,15%,93.91,107.61,null
10-Feb,15%,94.59,109.2,null
11-Feb,17%,95.18,110.89,null
12-Feb,18%,95.75,112.61,null
13-Feb,17%,95.68,111.85,null
14-Feb,16%,95.45,110.49,null
15-Feb,14%,94.8,108.35,null
16-Feb,13%,94.33,106.65,null
17-Feb,12%,94.02,104.86,null
18-Feb,8%,93.7,101.6,null
19-Feb,7%,91.89,98.21,null
20-Feb,7%,90.35,96.32,null
21-Feb,6%,89.06,94.68,null
22-Feb,6%,88.15,93.7,null
23-Feb,6%,87.19,92.52,null
24-Feb,6%,86.07,91.44,null
25-Feb,10%,84.98,93.32,null
26-Feb,10%,86.57,95.4,null
27-Feb,10%,88.55,97.16,null
28-Feb,9%,90.49,98.78,null
01-Mar,10%,92.3,101.72,null
02-Mar,10%,94.03,103.03,null
03-Mar,8%,95.73,103.04,null
04-Mar,6%,97.47,102.87,null
05-Mar,5%,98.17,103.03,null
06-Mar,5%,98.52,103.21,null
07-Mar,4%,99.5,103.51,null
08-Mar,3%,100.56,103.83,null
09-Mar,2%,101.67,104,null
10-Mar,1%,102.7,104.01,null
11-Mar,0%,103.7,104.05,null
12-Mar,-1%,104.45,103.69,null
13-Mar,-2%,105.68,103.07,null
14-Mar,-4%,106.26,101.74,null
15-Mar,-6%,106.57,100.21,null
16-Mar,-7%,106.65,98.68,null
17-Mar,-11%,106.98,95.57,null
18-Mar,-16%,107.38,90.73,null
19-Mar,-21%,107.49,84.9,null
20-Mar,-27%,106.99,78.26,null
21-Mar,-33%,105.86,71.28,null
22-Mar,-38%,104.9,64.64,null
23-Mar,-44%,104.3,58.05,null
24-Mar,-49%,103.52,52.83,null
25-Mar,-52%,102.87,49.04,null
26-Mar,-55%,102.39,46.28,null
27-Mar,-57%,102.13,44.27,null
28-Mar,-58%,102.58,43.21,null
29-Mar,-59%,103.17,41.96,null
30-Mar,-61%,103.55,40.8,null
31-Mar,-62%,103.93,39.76,null
01-Apr,-63%,104.11,38.9,null
02-Apr,-63%,104.38,38.3,null
03-Apr,-64%,104.64,38.07,null
04-Apr,-64%,104.96,37.99,null
05-Apr,-64%,105.37,37.86,null
06-Apr,-65%,106.12,37.61,null
07-Apr,-65%,106.74,37.37,null
08-Apr,-65%,107.66,37.31,null
09-Apr,-66%,108.35,37.11,null
10-Apr,-66%,108.98,36.86,null
11-Apr,-67%,109.03,36.05,null
12-Apr,-68%,108.76,35.23,null
13-Apr,-68%,108.13,34.43,null
14-Apr,-69%,107.69,33.62,null
15-Apr,-69%,106.85,32.75,null
16-Apr,-70%,106.19,32.27,null
17-Apr,-70%,105.56,31.75,null
18-Apr,-69%,105.7,32.42,null
19-Apr,-69%,106.01,33.06,null
20-Apr,-67%,104.54,34.06,null
