date.y,CA_ratio,CA_19,CA_20,
01-Feb,0%,100,100,
02-Feb,1%,98.57,100.03,
03-Feb,3%,97.05,100.27,
04-Feb,5%,95.8,100.43,
05-Feb,7%,93.96,100.79,
06-Feb,9%,93.54,102.12,
07-Feb,11%,93.3,103.91,
08-Feb,13%,93.46,105.82,
09-Feb,15%,93.91,107.61,
10-Feb,15%,94.59,109.2,
11-Feb,17%,95.18,110.89,
12-Feb,18%,95.75,112.61,
13-Feb,17%,95.68,111.85,
14-Feb,16%,95.45,110.49,
15-Feb,14%,94.8,108.35,
16-Feb,13%,94.33,106.65,
17-Feb,12%,94.02,104.86,
18-Feb,8%,93.7,101.6,
19-Feb,7%,91.89,98.21,
20-Feb,7%,90.35,96.32,
21-Feb,6%,89.06,94.68,
22-Feb,6%,88.15,93.7,
23-Feb,6%,87.19,92.52,
24-Feb,6%,86.07,91.44,
25-Feb,10%,84.98,93.32,
26-Feb,10%,86.57,95.4,
27-Feb,10%,88.55,97.16,
28-Feb,9%,90.49,98.78,
01-Mar,10%,92.3,101.72,
02-Mar,10%,94.03,103.03,
03-Mar,8%,95.73,103.04,
04-Mar,6%,97.47,102.87,
05-Mar,5%,98.17,103.03,
06-Mar,5%,98.52,103.21,
07-Mar,4%,99.5,103.51,
08-Mar,3%,100.56,103.83,
09-Mar,2%,101.67,104,
10-Mar,1%,102.7,104.01,
11-Mar,0%,103.7,104.05,
12-Mar,-1%,104.45,103.69,
13-Mar,-2%,105.68,103.07,
14-Mar,-4%,106.26,101.74,
15-Mar,-6%,106.57,100.21,
16-Mar,-7%,106.65,98.68,
17-Mar,-11%,106.98,95.57,
18-Mar,-16%,107.38,90.73,
19-Mar,-21%,107.49,84.9,
20-Mar,-27%,106.99,78.26,
21-Mar,-33%,105.86,71.28,
22-Mar,-38%,104.9,64.64,
23-Mar,-44%,104.3,58.05,
24-Mar,-49%,103.52,52.83,
25-Mar,-52%,102.87,49.04,
26-Mar,-55%,102.39,46.28,
27-Mar,-57%,102.13,44.27,
28-Mar,-58%,102.58,43.21,
29-Mar,-59%,103.17,41.96,
30-Mar,-61%,103.55,40.8,
31-Mar,-62%,103.93,39.76,
01-Apr,-63%,104.11,38.9,
02-Apr,-63%,104.38,38.3,
03-Apr,-64%,104.64,38.07,
04-Apr,-64%,104.96,37.99,
05-Apr,-64%,105.37,37.86,
06-Apr,-65%,106.12,37.61,
07-Apr,-65%,106.74,37.37,
08-Apr,-65%,107.66,37.31,
09-Apr,-66%,108.35,37.11,
10-Apr,-66%,108.98,36.86,
11-Apr,-67%,109.03,36.05,
12-Apr,-68%,108.76,35.23,
13-Apr,-68%,108.13,34.43,
14-Apr,-69%,107.69,33.62,
15-Apr,-69%,106.85,32.75,
16-Apr,-70%,106.19,32.27,
17-Apr,-70%,105.56,31.75,
18-Apr,-69%,105.7,32.42,
19-Apr,-69%,106.01,33.06,
20-Apr,-67%,104.54,34.06,
21-Apr,-65%,103,35.58,
22-Apr,-63%,101.45,37.15,
23-Apr,-61%,98.73,38.45,
24-Apr,-58%,96.04,39.88,
25-Apr,-56%,92.79,40.93,
26-Apr,-53%,89.34,42.07,
27-Apr,-52%,89.64,42.92,
28-Apr,-52%,89.97,43.29,
29-Apr,-52%,90.38,43.6,
30-Apr,-53%,92.69,43.99,
01-May,-53%,95.18,44.29,
02-May,-55%,98.16,44.39,
03-May,-56%,101.15,44.39,
04-May,-56%,102.4,44.61,
05-May,-56%,103.66,45.27,
06-May,-56%,104.87,46.15,
07-May,-55%,105.47,47.63,
08-May,-54%,106.09,49.24,
09-May,-52%,106.19,50.68,
10-May,-51%,106.02,52.06,
11-May,-50%,105.67,53.03,
12-May,-49%,105.52,53.66,
13-May,-49%,105.46,54.01,
14-May,-49%,105.38,53.64,
15-May,-49%,104.95,53.33,
16-May,-49%,104.74,53.14,
17-May,-49%,104.88,53.02,
18-May,-49%,104.87,53.17,
19-May,-50%,104.71,52.38,
20-May,-50%,104.5,52.01,
21-May,-49%,102.03,51.91,
22-May,-48%,99.39,51.99,
23-May,-46%,96.77,52.14,
24-May,-45%,94.13,52.22,
25-May,-43%,91.92,52.2,
26-May,-40%,89.59,54.18,
27-May,-36%,87.59,55.86,
28-May,-36%,89.86,57.48,
29-May,-37%,92.59,58.7,
