Day,Province,Year,Demand
1-1,Ontario,2017,"334,736"
1-2,Ontario,2017,"354,759"
1-3,Ontario,2017,"388,840"
1-4,Ontario,2017,"392,245"
1-5,Ontario,2017,"417,426"
1-6,Ontario,2017,"418,617"
1-7,Ontario,2017,"404,294"
2-1,Ontario,2017,"401,739"
2-2,Ontario,2017,"426,317"
2-3,Ontario,2017,"411,651"
2-4,Ontario,2017,"388,473"
2-5,Ontario,2017,"394,461"
2-6,Ontario,2017,"404,289"
2-7,Ontario,2017,"395,764"
3-1,Ontario,2017,"373,761"
3-2,Ontario,2017,"401,271"
3-3,Ontario,2017,"403,868"
3-4,Ontario,2017,"395,315"
3-5,Ontario,2017,"393,499"
3-6,Ontario,2017,"389,320"
3-7,Ontario,2017,"356,729"
4-1,Ontario,2017,"349,897"
4-2,Ontario,2017,"383,653"
4-3,Ontario,2017,"394,105"
4-4,Ontario,2017,"390,817"
4-5,Ontario,2017,"385,173"
4-6,Ontario,2017,"385,982"
4-7,Ontario,2017,"370,588"
5-1,Ontario,2017,"373,577"
5-2,Ontario,2017,"410,684"
5-3,Ontario,2017,"416,155"
5-4,Ontario,2017,"403,141"
5-5,Ontario,2017,"404,864"
5-6,Ontario,2017,"408,416"
5-7,Ontario,2017,"385,131"
6-1,Ontario,2017,"375,542"
6-2,Ontario,2017,"406,175"
6-3,Ontario,2017,"411,715"
6-4,Ontario,2017,"401,079"
6-5,Ontario,2017,"411,944"
6-6,Ontario,2017,"412,180"
6-7,Ontario,2017,"377,869"
7-1,Ontario,2017,"374,514"
7-2,Ontario,2017,"400,216"
7-3,Ontario,2017,"391,470"
7-4,Ontario,2017,"394,878"
7-5,Ontario,2017,"403,366"
7-6,Ontario,2017,"390,144"
7-7,Ontario,2017,"329,111"
8-1,Ontario,2017,"316,548"
8-2,Ontario,2017,"333,679"
8-3,Ontario,2017,"373,333"
8-4,Ontario,2017,"364,091"
8-5,Ontario,2017,"352,135"
8-6,Ontario,2017,"365,866"
8-7,Ontario,2017,"343,538"
9-1,Ontario,2017,"340,988"
9-2,Ontario,2017,"365,212"
9-3,Ontario,2017,"370,418"
9-4,Ontario,2017,"365,648"
9-5,Ontario,2017,"386,491"
9-6,Ontario,2017,"396,240"
9-7,Ontario,2017,"378,929"
10-1,Ontario,2017,"366,478"
10-2,Ontario,2017,"384,551"
10-3,Ontario,2017,"369,801"
10-4,Ontario,2017,"355,087"
10-5,Ontario,2017,"377,439"
10-6,Ontario,2017,"387,784"
10-7,Ontario,2017,"384,550"
11-1,Ontario,2017,"373,402"
11-2,Ontario,2017,"412,340"
11-3,Ontario,2017,"412,620"
11-4,Ontario,2017,"404,482"
11-5,Ontario,2017,"387,025"
11-6,Ontario,2017,"373,335"
11-7,Ontario,2017,"360,177"
12-1,Ontario,2017,"336,481"
12-2,Ontario,2017,"375,972"
12-3,Ontario,2017,"359,117"
12-4,Ontario,2017,"382,556"
12-5,Ontario,2017,"380,228"
12-6,Ontario,2017,"372,740"
12-7,Ontario,2017,"345,765"
13-1,Ontario,2017,"342,164"
13-2,Ontario,2017,"363,986"
13-3,Ontario,2017,"358,478"
13-4,Ontario,2017,"358,352"
13-5,Ontario,2017,"364,784"
13-6,Ontario,2017,"374,029"
13-7,Ontario,2017,"331,284"
14-1,Ontario,2017,"310,008"
14-2,Ontario,2017,"343,987"
14-3,Ontario,2017,"357,469"
14-4,Ontario,2017,"349,308"
14-5,Ontario,2017,"367,316"
14-6,Ontario,2017,"354,870"
14-7,Ontario,2017,"315,138"
1-1,Ontario,2018,
1-2,Ontario,2018,"406,340"
1-3,Ontario,2018,"430,873"
1-4,Ontario,2018,"434,960"
1-5,Ontario,2018,"433,198"
1-6,Ontario,2018,"455,055"
1-7,Ontario,2018,"444,344"
2-1,Ontario,2018,"426,814"
2-2,Ontario,2018,"415,066"
2-3,Ontario,2018,"407,750"
2-4,Ontario,2018,"403,738"
2-5,Ontario,2018,"382,667"
2-6,Ontario,2018,"397,318"
2-7,Ontario,2018,"410,012"
3-1,Ontario,2018,"412,981"
3-2,Ontario,2018,"437,505"
3-3,Ontario,2018,"433,364"
3-4,Ontario,2018,"425,718"
3-5,Ontario,2018,"419,842"
3-6,Ontario,2018,"396,800"
3-7,Ontario,2018,"363,661"
4-1,Ontario,2018,"368,528"
4-2,Ontario,2018,"403,568"
4-3,Ontario,2018,"395,597"
4-4,Ontario,2018,"414,694"
