Date,CALGARY (CYYC),MONTREAL (CYUL),TORONTO (CYYZ),VANCOUVER (CYVR)
March 1,587,630,1161,749
2,678,639,1210,849
3,666,618,1219,796
4,650,631,1225,865
5,682,657,1235,855
6,661,672,1269,891
7,443,554,1070,675
March 8,590,636,1195,775
9,663,671,1231,851
10,685,646,1200,817
11,671,654,1236,823
12,664,673,1234,863
13,577,612,1260,848
14,497,570,1134,721
March 15,564,618,1147,754
16,598,593,1140,833
17,588,549,1100,727
18,543,581,1013,715
19,501,544,975,668
20,516,515,950,658
21,394,440,862,519
March 22,365,399,780,483
23,365,334,606,516
24,330,264,452,389
25,297,278,391,380
26,291,213,365,338
27,249,218,353,324
28,209,141,277,210
March 29,209,128,244,208
30,201,136,236,246
31,255,142,270,230
1,243,145,247,238
2,228,114,226,228
3,185,136,261,232
4,151,115,187,160
April 5,127,83,198,139
6,234,104,194,203
7,225,102,192,203
8,236,110,209,230
9,195,77,196,231
10,145,85,198,160
11,104,85,173,125
April 12,110,71,159,114
13,201,76,165,182
14,218,85,186,200
15,200,99,192,215
16,206,107,182,215
17,204,90,197,209
18,127,95,151,133
April 19,152,83,145,132
20,205,97,184,184
21,233,92,165,171
22,227,89,192,214
23,209,96,177,201
24,175,117,191,225
25,142,73,124,117
April 26,133,68,161,132
27,188,71,187,231
28,228,99,171,204
29,221,109,192,203
30,221,90,172,207
1,186,100,198,213
2,140,92,144,126
May 3,121,77,155,148
4,190,74,186,221
5,223,83,171,185
6,204,102,193,223
7,175,106,195,212
8,145,100,197,238
9,69,57,144,165
May 10,108,74,176,155
11,160,96,177,212
12,241,102,174,218
13,184,116,201,225
14,197,113,189,234
15,169,108,189,222
16,98,82,129,162
May 17,119,88,163,145
18,155,102,159,180
19,189,108,182,209
20,191,123,209,240
21,157,139,188,216
22,155,132,219,234
23,89,87,141,155
May 24,138,103,168,147
25,192,92,189,223
26,199,115,174,213
27,257,125,217,245
28,222,107,216,245
29,193,148,201,263
30,98,75,154,154
May 31,129,119,183,199
1,191,150,224,283
2,271,169,242,276
3,241,153,265,323
4,223,184,269,307
5,209,161,268,305
6,115,103,177,211
June 7,126,131,209,219
8,210,166,225,284
9,271,146,235,272
10,238,158,247,315
11,234,128,276,301
12,190,160,245,303
13,93,115,198,196
June 14,162,142,203,215
15,218,165,240,299
16,254,181,248,287
17,217,163,254,327
18,231,178,256,312
19,207,184,244,323
20,135,133,217,245
June 21,145,146,211,257
22,238,180,269,342
23,252,190,281,307
24,247,174,272,349
25,265,218,276,364
26,212,193,300,390
27,104,129,227,243
June 28,163,145,245,273
29,233,161,265,352
30,242,213,301,364
