Month,Bankrupcies,Proposals,Total
Jan-11,284,76,360
Feb-11,287,81,368
Mar-11,399,139,538
Apr-11,318,83,401
May-11,315,112,427
Jun-11,324,105,429
Jul-11,219,74,293
Aug-11,297,69,366
Sep-11,300,105,405
Oct-11,301,100,401
Nov-11,308,104,412
Dec-11,291,84,375
Jan-12,275,95,370
Feb-12,304,99,403
Mar-12,304,115,419
Apr-12,276,87,363
May-12,284,119,403
Jun-12,263,79,342
Jul-12,247,69,316
Aug-12,244,88,332
Sep-12,263,98,361
Oct-12,241,102,343
Nov-12,280,100,380
Dec-12,255,66,321
Jan-13,240,79,319
Feb-13,278,118,396
Mar-13,288,82,370
Apr-13,300,100,400
May-13,287,103,390
Jun-13,230,103,333
Jul-13,247,72,319
Aug-13,256,78,334
Sep-13,254,79,333
Oct-13,282,95,377
Nov-13,245,97,342
Dec-13,280,88,368
Jan-14,247,76,323
Feb-14,247,109,356
Mar-14,281,100,381
Apr-14,297,97,394
May-14,274,97,371
Jun-14,234,85,319
Jul-14,245,74,319
Aug-14,227,82,309
Sep-14,250,65,315
Oct-14,310,94,404
Nov-14,263,92,355
Dec-14,241,132,373
Jan-15,229,91,320
Feb-15,257,106,363
Mar-15,309,96,405
Apr-15,283,102,385
May-15,235,75,310
Jun-15,268,89,357
Jul-15,241,72,313
Aug-15,200,60,260
Sep-15,272,91,363
Oct-15,240,89,329
Nov-15,283,75,358
Dec-15,272,72,344
Jan-16,217,62,279
Feb-16,273,102,375
Mar-16,293,83,376
Apr-16,247,108,355
May-16,248,90,338
Jun-16,261,73,334
Jul-16,197,62,259
Aug-16,221,74,295
Sep-16,224,70,294
Oct-16,231,76,307
Nov-16,229,105,334
Dec-16,243,60,303
Jan-17,177,53,230
Feb-17,229,101,330
Mar-17,276,93,369
Apr-17,239,66,305
May-17,284,70,354
Jun-17,226,68,294
Jul-17,197,56,253
Aug-17,208,83,291
Sep-17,180,66,246
Oct-17,250,76,326
Nov-17,222,91,313
Dec-17,212,86,298
Jan-18,191,74,265
Feb-18,255,80,335
Mar-18,254,76,330
Apr-18,239,60,299
May-18,221,94,315
Jun-18,196,68,264
Jul-18,190,68,258
Aug-18,209,70,279
Sep-18,210,79,289
Oct-18,240,79,319
Nov-18,237,104,341
Dec-18,235,51,286
Jan-19,227,65,292
Feb-19,245,73,318
Mar-19,281,81,362
Apr-19,278,85,363
May-19,236,80,316
Jun-19,212,83,295
Jul-19,250,86,336
Aug-19,177,62,239
Sep-19,190,62,252
Oct-19,218,94,312
Nov-19,218,84,302
Dec-19,214,79,293
Jan-20,222,86,308
Feb-20,233,91,324
Mar-20,175,76,251
Apr-20,108,56,164
May-20,152,41,193
Jun-20,191,59,250
