Month,Proposals,Bankrupcies,Total
Jan-11,3342,5864,9206
Feb-11,3778,6487,10265
Mar-11,4458,7675,12133
Apr-11,3835,7087,10922
May-11,3782,6797,10579
Jun-11,3780,6812,10592
Jul-11,3186,5629,8815
Aug-11,3706,6472,10178
Sep-11,3797,6510,10307
Oct-11,3709,6259,9968
Nov-11,4234,6629,10863
Dec-11,3399,5772,9171
Jan-12,3524,5420,8944
Feb-12,4185,6264,10449
Mar-12,4469,6551,11020
Apr-12,3976,6398,10374
May-12,4285,6709,10994
Jun-12,3927,5980,9907
Jul-12,3624,5625,9249
Aug-12,3853,5893,9746
Sep-12,3517,5538,9055
Oct-12,4299,6455,10754
Nov-12,4169,6063,10232
Dec-12,3075,4599,7674
Jan-13,3882,5465,9347
Feb-13,3905,5374,9279
Mar-13,4365,5796,10161
Apr-13,4523,6634,11157
May-13,4611,6576,11187
Jun-13,3926,5602,9528
Jul-13,3955,5802,9757
Aug-13,3982,5654,9636
Sep-13,4145,5651,9796
Oct-13,4561,6350,10911
Nov-13,4211,5618,9829
Dec-13,3388,4702,8090
Jan-14,3974,4851,8825
Feb-14,4368,5206,9574
Mar-14,4791,5580,10371
Apr-14,4690,6049,10739
May-14,4641,6137,10778
Jun-14,4291,5210,9501
Jul-14,4478,5433,9911
Aug-14,4169,4945,9114
Sep-14,4546,5517,10063
Oct-14,4961,5840,10801
Nov-14,4292,5091,9383
Dec-14,4010,4980,8990
Jan-15,4285,4478,8763
Feb-15,4776,4938,9714
Mar-15,5650,5731,11381
Apr-15,5044,5976,11020
May-15,4782,5513,10295
Jun-15,4874,5589,10463
Jul-15,5038,5300,10338
Aug-15,4350,4871,9221
Sep-15,4847,5415,10262
Oct-15,5158,5435,10593
Nov-15,4935,5124,10059
Dec-15,4464,5036,9500
Jan-16,4489,4305,8794
Feb-16,5408,5249,10657
Mar-16,5824,5801,11625
Apr-16,5483,6077,11560
May-16,5504,5933,11437
Jun-16,5641,5625,11266
Jul-16,4746,4757,9503
Aug-16,5112,5072,10184
Sep-16,5361,5368,10729
Oct-16,5125,5273,10398
Nov-16,5450,5470,10920
Dec-16,4363,4442,8805
Jan-17,4832,4211,9043
Feb-17,5388,4473,9861
Mar-17,6148,5632,11780
Apr-17,5011,5078,10089
May-17,5696,5615,11311
Jun-17,5486,5068,10554
Jul-17,4941,4331,9272
Aug-17,5404,4737,10141
Sep-17,5260,4862,10122
Oct-17,5665,4994,10659
Nov-17,5949,4826,10775
Dec-17,4449,4142,8591
Jan-18,5327,3981,9308
Feb-18,5426,4348,9774
Mar-18,6481,4834,11315
Apr-18,5929,4853,10782
May-18,6138,5262,11400
Jun-18,5795,4679,10474
Jul-18,5392,4437,9829
Aug-18,5844,4635,10479
Sep-18,5528,4477,10005
Oct-18,6558,5083,11641
Nov-18,6670,4650,11320
Dec-18,5087,3852,8939
Jan-19,5941,4032,9973
Feb-19,6204,4099,10303
Mar-19,7318,4645,11963
Apr-19,6922,4863,11785
May-19,7212,5163,12375
Jun-19,6594,4322,10916
Jul-19,6937,4552,11489
Aug-19,6792,4492,11284
Sep-19,7222,4713,11935
Oct-19,8073,5127,13200
Nov-19,7337,4484,11821
Dec-19,6217,3917,10134
Jan-20,7189,3840,11029
Feb-20,7384,3867,11251
Mar-20,7206,3741,10947
Apr-20,4519,2181,6700
May-20,4064,2047,6111
Jun-20,4164,2185,6349
