Week-WeekDay,Province,2017,2018,2019,2020
Week 1-1,Ontario,334736,null,null,null
Week 1-2,Ontario,354759,406340,null,null
Week 1-3,Ontario,388840,430873,347667,null
Week 1-4,Ontario,392245,434960,406882,338635
Week 1-5,Ontario,417426,433198,399512,362851
Week 1-6,Ontario,418617,455055,375545,369581
Week 1-7,Ontario,404294,444344,360271,361837
Week 2-1,Ontario,401739,426814,358609,359681
Week 2-2,Ontario,426317,415066,409902,388047
Week 2-3,Ontario,411651,407750,389402,390269
Week 2-4,Ontario,388473,403738,391661,405317
Week 2-5,Ontario,394461,382667,411857,418122
Week 2-6,Ontario,404289,397318,427194,391778
Week 2-7,Ontario,395764,410012,398965,371135
Week 3-1,Ontario,373761,412981,393477,385077
Week 3-2,Ontario,401271,437505,415996,411467
Week 3-3,Ontario,403868,433364,411116,402629
Week 3-4,Ontario,395315,425718,410850,396283
Week 3-5,Ontario,393499,419842,427858,401285
Week 3-6,Ontario,389320,396800,419964,426638
Week 3-7,Ontario,356729,363661,427568,407684
Week 4-1,Ontario,349897,368528,429601,391387
Week 4-2,Ontario,383653,403568,464000,421821
Week 4-3,Ontario,394105,395597,451280,418194
Week 4-4,Ontario,390817,414694,422409,408436
Week 4-5,Ontario,385173,426387,408951,400738
Week 4-6,Ontario,385982,393678,413286,385809
Week 4-7,Ontario,370588,357218,411453,374600
Week 5-1,Ontario,373577,355249,407035,365586
Week 5-2,Ontario,410684,403618,451354,395676
Week 5-3,Ontario,416155,422817,435323,401621
Week 5-4,Ontario,403141,421466,443435,404735
Week 5-5,Ontario,404864,399669,454793,412524
Week 5-6,Ontario,408416,421256,447631,409132
Week 5-7,Ontario,385131,404386,407711,376088
Week 6-1,Ontario,375542,385655,376226,366939
Week 6-2,Ontario,406175,419040,383407,378797
Week 6-3,Ontario,411715,423148,395605,389559
Week 6-4,Ontario,401079,431488,423587,397843
Week 6-5,Ontario,411944,425624,409439,411746
Week 6-6,Ontario,412180,423907,405649,411074
Week 6-7,Ontario,377869,398017,398549,403304
Week 7-1,Ontario,374514,393201,392917,390531
Week 7-2,Ontario,400216,410518,412935,397206
Week 7-3,Ontario,391470,420175,426734,389183
Week 7-4,Ontario,394878,385356,412462,387492
Week 7-5,Ontario,403366,385148,406119,408658
Week 7-6,Ontario,390144,386093,394541,426344
Week 7-7,Ontario,329111,377293,378653,386545
Week 8-1,Ontario,316548,353070,380602,357473
Week 8-2,Ontario,333679,361238,387384,361327
Week 8-3,Ontario,373333,377640,419712,393991
Week 8-4,Ontario,364091,385121,419555,395359
Week 8-5,Ontario,352135,397534,398554,408349
Week 8-6,Ontario,365866,394816,394468,390581
Week 8-7,Ontario,343538,358011,364944,350701
Week 9-1,Ontario,340988,345377,368466,333000
Week 9-2,Ontario,365212,368080,404359,365112
Week 9-3,Ontario,370418,360206,419524,378661
Week 9-4,Ontario,365648,359998,439247,395614
Week 9-5,Ontario,386491,369449,422764,401546
Week 9-6,Ontario,396240,376763,401859,403751
Week 9-7,Ontario,378929,353566,386322,383046
Week 10-1,Ontario,366478,345307,378099,365941
Week 10-2,Ontario,384551,382675,411548,379386
Week 10-3,Ontario,369801,389639,423964,386217
Week 10-4,Ontario,355087,389144,424822,375838
Week 10-5,Ontario,377439,388933,418633,371054
Week 10-6,Ontario,387784,379859,404506,381843
Week 10-7,Ontario,384550,360217,366408,353360
Week 11-1,Ontario,373402,352322,370002,328087
Week 11-2,Ontario,412340,387424,388459,345524
Week 11-3,Ontario,412620,385395,374656,360643
Week 11-4,Ontario,404482,383291,387082,377682
Week 11-5,Ontario,387025,378709,371002,367190
Week 11-6,Ontario,373335,375676,366993,359640
Week 11-7,Ontario,360177,351901,355051,351512
Week 12-1,Ontario,336481,345962,354402,338808
Week 12-2,Ontario,375972,375409,380121,368305
Week 12-3,Ontario,359117,375677,375107,367187
Week 12-4,Ontario,382556,375809,365809,367632
Week 12-5,Ontario,380228,372427,375368,364782
Week 12-6,Ontario,372740,369151,368611,347391
Week 12-7,Ontario,345765,348395,345789,348069
Week 13-1,Ontario,342164,341559,342322,342501
Week 13-2,Ontario,363986,354017,366069,372177
Week 13-3,Ontario,358478,374106,371605,350165
Week 13-4,Ontario,358352,367180,362030,339675
Week 13-5,Ontario,364784,368423,363112,338085
Week 13-6,Ontario,374029,327052,349101,331418
Week 13-7,Ontario,331284,326983,354853,323565
Week 14-1,Ontario,310008,329361,354973,312860
Week 14-2,Ontario,343987,357154,369544,334579
Week 14-3,Ontario,357469,377540,359898,null
Week 14-4,Ontario,349308,378034,354756,null
Week 14-5,Ontario,367316,376308,365340,null
Week 14-6,Ontario,354870,376817,373500,null
Week 14-7,Ontario,315138,353577,328877,null
Week 15-1,Ontario,294614,345272,321569,null
Week 15-2,Ontario,327071,373514,352331,null
Week 15-3,Ontario,333929,368635,355542,null
Week 15-4,Ontario,348375,369796,358505,null
Week 15-5,Ontario,338111,366742,368446,null
Week 15-6,Ontario,287957,366099,350688,null
Week 15-7,Ontario,296341,363082,309335,null
Week 16-1,Ontario,284922,367733,337231,null
Week 16-2,Ontario,326999,382648,355472,null
Week 16-3,Ontario,333343,374369,358985,null
Week 16-4,Ontario,341462,371192,340041,null
Week 16-5,Ontario,349064,366183,336138,null
Week 16-6,Ontario,339743,351234,313357,null
Week 16-7,Ontario,306599,319182,320291,null
Week 17-1,Ontario,297075,305342,307422,null
Week 17-2,Ontario,326332,328303,326601,null
Week 17-3,Ontario,340473,337440,333683,null
Week 17-4,Ontario,335154,347277,343936,null
