Date,Province,Confirmed,Deaths
Jan-22,Alberta,null,null
Jan-22,British Columbia,null,null
Jan-22,Manitoba,null,null
Jan-22,New Brunswick,null,null
Jan-22,Newfoundland and Labrador,null,null
Jan-22,Nova Scotia,null,null
Jan-22,Ontario,null,null
Jan-22,Prince Edward Island,null,null
Jan-22,Quebec,null,null
Jan-22,Saskatchewan,null,null
Jan-22,Repartriated Canadians,null,null
Jan-22,Canada,null,null
Jan-23,Alberta,null,null
Jan-24,Alberta,null,null
Jan-25,Alberta,null,null
Jan-26,Alberta,null,null
Jan-27,Alberta,null,null
Jan-28,Alberta,null,null
Jan-29,Alberta,null,null
Jan-30,Alberta,null,null
Jan-31,Alberta,null,null
Feb-01,Alberta,null,null
Feb-02,Alberta,null,null
Feb-03,Alberta,null,null
Feb-04,Alberta,null,null
Feb-05,Alberta,null,null
Feb-06,Alberta,null,null
Feb-07,Alberta,null,null
Feb-08,Alberta,null,null
Feb-09,Alberta,null,null
Feb-10,Alberta,null,null
Feb-11,Alberta,null,null
Feb-12,Alberta,null,null
Feb-13,Alberta,null,null
Feb-14,Alberta,null,null
Feb-15,Alberta,null,null
Feb-16,Alberta,null,null
Feb-17,Alberta,null,null
Feb-18,Alberta,null,null
Feb-19,Alberta,null,null
Feb-20,Alberta,null,null
Feb-21,Alberta,null,null
Feb-22,Alberta,null,null
Feb-23,Alberta,null,null
Feb-24,Alberta,null,null
Feb-25,Alberta,null,null
Feb-26,Alberta,null,null
Feb-27,Alberta,null,null
Feb-28,Alberta,null,null
Feb-29,Alberta,null,null
Mar-01,Alberta,null,null
Mar-02,Alberta,null,null
Mar-03,Alberta,null,null
Mar-04,Alberta,null,null
Mar-05,Alberta,null,null
Mar-06,Alberta,0.0,null
Mar-07,Alberta,0.0,null
Mar-08,Alberta,0.3010299956639812,null
Mar-09,Alberta,0.47712125471966244,null
Mar-10,Alberta,null,null
Mar-11,Alberta,1.0791812460476249,null
Mar-12,Alberta,null,null
Mar-13,Alberta,1.0,null
Mar-14,Alberta,null,null
Mar-15,Alberta,1.0,null
Mar-16,Alberta,1.2304489213782739,null
Mar-17,Alberta,1.255272505103306,null
Mar-18,Alberta,1.3617278360175928,null
Mar-19,Alberta,1.3424226808222062,null
Mar-20,Alberta,1.4313637641589874,0.0
Mar-21,Alberta,1.6901960800285136,null
Mar-22,Alberta,1.806179973983887,null
Mar-23,Alberta,1.6232492903979006,null
Mar-24,Alberta,1.7634279935629373,null
Mar-25,Alberta,null,0.0
Mar-26,Alberta,2.1072099696478683,null
Mar-27,Alberta,1.7481880270062005,null
Mar-28,Alberta,null,null
Mar-29,Alberta,1.8976270912904414,null
Mar-30,Alberta,1.6020599913279623,0.0
Mar-31,Alberta,1.462397997898956,0.6989700043360189
Apr-01,Alberta,1.806179973983887,0.0
Apr-02,Alberta,2.3324384599156054,0.6020599913279624
Apr-03,Alberta,null,null
Apr-04,Alberta,2.0253058652647704,0.6989700043360189
Apr-05,Alberta,2.0253058652647704,0.3010299956639812
Apr-06,Alberta,1.8388490907372552,0.47712125471966244
Apr-07,Alberta,2.089905111439398,0.0
Apr-08,Alberta,null,0.3010299956639812
Apr-09,Alberta,1.6989700043360187,0.47712125471966244
Apr-10,Alberta,1.4471580313422192,0.47712125471966244
Apr-11,Alberta,2.0644579892269186,0.9030899869919435
Apr-12,Alberta,null,null
Apr-13,Alberta,2.2174839442139063,0.7781512503836436
Apr-14,Alberta,2.1398790864012365,0.3010299956639812
Apr-15,Alberta,null,null
Apr-16,Alberta,2.100370545117563,null
Apr-17,Alberta,2.603144372620182,0.3010299956639812
Apr-18,Alberta,2.2174839442139063,0.0
Apr-19,Alberta,2.3820170425748683,null
Apr-20,Alberta,2.0211892990699383,0.9030899869919435
Jan-23,British Columbia,null,null
Jan-24,British Columbia,null,null
Jan-25,British Columbia,null,null
Jan-26,British Columbia,null,null
Jan-27,British Columbia,null,null
Jan-28,British Columbia,0.0,null
Jan-29,British Columbia,null,null
Jan-30,British Columbia,null,null
Jan-31,British Columbia,null,null
Feb-01,British Columbia,null,null
Feb-02,British Columbia,null,null
Feb-03,British Columbia,null,null
Feb-04,British Columbia,null,null
Feb-05,British Columbia,0.0,null
Feb-06,British Columbia,null,null
Feb-07,British Columbia,0.3010299956639812,null
Feb-08,British Columbia,null,null
Feb-09,British Columbia,null,null
Feb-10,British Columbia,null,null
Feb-11,British Columbia,null,null
Feb-12,British Columbia,null,null
Feb-13,British Columbia,null,null
Feb-14,British Columbia,null,null
Feb-15,British Columbia,null,null
Feb-16,British Columbia,null,null
Feb-17,British Columbia,0.0,null
Feb-18,British Columbia,null,null
Feb-19,British Columbia,null,null
Feb-20,British Columbia,null,null
Feb-21,British Columbia,0.0,null
Feb-22,British Columbia,null,null
Feb-23,British Columbia,null,null
Feb-24,British Columbia,null,null
Feb-25,British Columbia,0.0,null
Feb-26,British Columbia,null,null
Feb-27,British Columbia,null,null
Feb-28,British Columbia,null,null
Feb-29,British Columbia,0.0,null
Mar-01,British Columbia,null,null
Mar-02,British Columbia,null,null
Mar-03,British Columbia,0.0,null
Mar-04,British Columbia,0.47712125471966244,null
Mar-05,British Columbia,0.0,null
Mar-06,British Columbia,0.9030899869919435,null
Mar-07,British Columbia,null,null
Mar-08,British Columbia,0.7781512503836436,null
Mar-09,British Columbia,0.6989700043360189,0.0
Mar-10,British Columbia,null,null
Mar-11,British Columbia,0.8450980400142568,null
Mar-12,British Columbia,0.8450980400142568,null
Mar-13,British Columbia,1.255272505103306,null
Mar-14,British Columbia,null,null
Mar-15,British Columbia,0.9542425094393249,null
Mar-16,British Columbia,1.4771212547196624,0.47712125471966244
Mar-17,British Columbia,null,null
