Type,Month,2017,2018,2019,2020,2021
"Light Trucks (Pickup Truck, SUV)",Jan,78727,85906,81690,87183,null
"Light Trucks (Pickup Truck, SUV)",Feb,84866,89651,90767,96500,null
"Light Trucks (Pickup Truck, SUV)",Mar,125983,132515,133317,null,null
"Light Trucks (Pickup Truck, SUV)",Apr,130912,133773,131324,null,null
"Light Trucks (Pickup Truck, SUV)",May,141689,146448,143995,null,null
"Light Trucks (Pickup Truck, SUV)",June,137046,139003,136059,null,null
"Light Trucks (Pickup Truck, SUV)",July,123603,122299,127636,null,null
"Light Trucks (Pickup Truck, SUV)",August,124849,128100,138223,null,null
"Light Trucks (Pickup Truck, SUV)",September,129731,123696,126213,null,null
"Light Trucks (Pickup Truck, SUV)",October,115417,115688,121374,null,null
"Light Trucks (Pickup Truck, SUV)",November,114592,104637,111517,null,null
"Light Trucks (Pickup Truck, SUV)",December,91560,85565,87555,null,null
Passenger cars,Jan,32218,31375,27084,22433,null
Passenger cars,Feb,38167,35879,30124,26875,null
Passenger cars,Mar,61557,53932,48483,null,null
Passenger cars,Apr,66291,58083,49292,null,null
Passenger cars,May,75172,68959,58146,null,null
Passenger cars,June,66440,61153,49437,null,null
Passenger cars,July,58231,53018,45883,null,null
Passenger cars,August,59096,52842,43563,null,null
Passenger cars,September,57106,49278,39719,null,null
Passenger cars,October,48797,45437,38066,null,null
Passenger cars,November,44061,39031,31798,null,null
Passenger cars,December,32687,28724,23092,null,null
Total,Jan,110945,117281,108774,109616,null
Total,Feb,123033,125530,120891,123375,null
Total,Mar,187540,186447,181800,93991,null
Total,Apr,197203,191856,180616,45688,null
Total,May,216861,215407,202141,113224,null
Total,June,203486,200156,185496,155439,null
Total,July,181834,175317,173519,165020,null
Total,August,183945,180942,181786,165837,null
Total,September,186837,172974,165932,169876,null
Total,October,164214,161125,159440,156095,null
Total,November,158653,143668,143315,128351,null
Total,December,124247,114289,110647,110876,null
