Date,Province,Confirmed,Deaths
Jan-22,Alberta,0,0
Jan-23,Alberta,0,0
Jan-24,Alberta,0,0
Jan-25,Alberta,0,0
Jan-26,Alberta,0,0
Jan-27,Alberta,0,0
Jan-28,Alberta,0,0
Jan-29,Alberta,0,0
Jan-30,Alberta,0,0
Jan-31,Alberta,0,0
Feb-01,Alberta,0,0
Feb-02,Alberta,0,0
Feb-03,Alberta,0,0
Feb-04,Alberta,0,0
Feb-05,Alberta,0,0
Feb-06,Alberta,0,0
Feb-07,Alberta,0,0
Feb-08,Alberta,0,0
Feb-09,Alberta,0,0
Feb-10,Alberta,0,0
Feb-11,Alberta,0,0
Feb-12,Alberta,0,0
Feb-13,Alberta,0,0
Feb-14,Alberta,0,0
Feb-15,Alberta,0,0
Feb-16,Alberta,0,0
Feb-17,Alberta,0,0
Feb-18,Alberta,0,0
Feb-19,Alberta,0,0
Feb-20,Alberta,0,0
Feb-21,Alberta,0,0
Feb-22,Alberta,0,0
Feb-23,Alberta,0,0
Feb-24,Alberta,0,0
Feb-25,Alberta,0,0
Feb-26,Alberta,0,0
Feb-27,Alberta,0,0
Feb-28,Alberta,0,0
Feb-29,Alberta,0,0
Mar-01,Alberta,0,0
Mar-02,Alberta,0,0
Mar-03,Alberta,0,0
Mar-04,Alberta,0,0
Mar-05,Alberta,0,0
Mar-06,Alberta,1,0
Mar-07,Alberta,2,0
Mar-08,Alberta,4,0
Mar-09,Alberta,7,0
Mar-10,Alberta,7,0
Mar-11,Alberta,19,0
Mar-12,Alberta,19,0
Mar-13,Alberta,29,0
Mar-14,Alberta,29,0
Mar-15,Alberta,39,0
Mar-16,Alberta,56,0
Mar-17,Alberta,74,0
Mar-18,Alberta,97,0
Mar-19,Alberta,119,0
Mar-20,Alberta,146,1
Mar-21,Alberta,195,1
Mar-22,Alberta,259,1
Mar-23,Alberta,301,1
Mar-24,Alberta,359,1
Mar-25,Alberta,358,2
Mar-26,Alberta,486,2
Mar-27,Alberta,542,2
Mar-28,Alberta,542,2
Mar-29,Alberta,621,2
Mar-30,Alberta,661,3
Mar-31,Alberta,690,8
Apr-01,Alberta,754,9
Apr-02,Alberta,969,13
Apr-03,Alberta,969,13
Apr-04,Alberta,1075,18
Apr-05,Alberta,1181,20
Apr-06,Alberta,1250,23
Apr-07,Alberta,1373,24
Apr-08,Alberta,1373,26
Apr-09,Alberta,1423,29
Apr-10,Alberta,1451,32
Apr-11,Alberta,1567,40
Apr-12,Alberta,1567,40
Apr-13,Alberta,1732,46
Apr-14,Alberta,1870,48
Apr-15,Alberta,1870,48
Apr-16,Alberta,1996,48
Apr-17,Alberta,2397,50
Apr-18,Alberta,2562,51
Apr-19,Alberta,2803,51
Apr-20,Alberta,2908,59
Apr-21,Alberta,3095,61
Apr-22,Alberta,3401,66
Apr-23,Alberta,3720,68
Apr-24,Alberta,4017,72
Apr-25,Alberta,4233,73
Apr-26,Alberta,4480,73
Apr-27,Alberta,4696,75
Apr-28,Alberta,4850,80
Apr-29,Alberta,5165,87
Apr-30,Alberta,5355,90
May-01,Alberta,5573,92
May-02,Alberta,5670,94
May-03,Alberta,5766,95
May-04,Alberta,5836,104
May-05,Alberta,5893,106
May-06,Alberta,5963,112
May-07,Alberta,6017,114
May-08,Alberta,6098,115
May-09,Alberta,6157,116
May-10,Alberta,6253,117
May-11,Alberta,6300,117
May-12,Alberta,6345,118
May-13,Alberta,6407,120
May-14,Alberta,6457,121
May-15,Alberta,6515,125
May-16,Alberta,6587,126
May-17,Alberta,6644,127
May-18,Alberta,6683,128
May-19,Alberta,6716,128
May-20,Alberta,6735,128
May-21,Alberta,6768,132
May-22,Alberta,6800,134
May-23,Alberta,6818,135
May-24,Alberta,6860,135
May-25,Alberta,6879,138
May-26,Alberta,6901,139
May-27,Alberta,6926,141
May-28,Alberta,6955,143
May-29,Alberta,6979,143
May-30,Alberta,6992,143
May-31,Alberta,7010,143
Jun-01,Alberta,7044,143
Jun-02,Alberta,7057,143
Jun-03,Alberta,7076,145
Jun-04,Alberta,7091,146
Jun-05,Alberta,7098,146
Jun-06,Alberta,7138,146
Jun-07,Alberta,7138,146
Jun-08,Alberta,7202,149
Jan-22,British Columbia,0,0
Jan-23,British Columbia,0,0
Jan-24,British Columbia,0,0
Jan-25,British Columbia,0,0
Jan-26,British Columbia,0,0
Jan-27,British Columbia,0,0
Jan-28,British Columbia,1,0
Jan-29,British Columbia,1,0
Jan-30,British Columbia,1,0
Jan-31,British Columbia,1,0
Feb-01,British Columbia,1,0
Feb-02,British Columbia,1,0
Feb-03,British Columbia,1,0
Feb-04,British Columbia,1,0
Feb-05,British Columbia,2,0
Feb-06,British Columbia,2,0
Feb-07,British Columbia,4,0
Feb-08,British Columbia,4,0
Feb-09,British Columbia,4,0
Feb-10,British Columbia,4,0
Feb-11,British Columbia,4,0
Feb-12,British Columbia,4,0
Feb-13,British Columbia,4,0
Feb-14,British Columbia,4,0
Feb-15,British Columbia,4,0
Feb-16,British Columbia,4,0
Feb-17,British Columbia,5,0
Feb-18,British Columbia,5,0
Feb-19,British Columbia,5,0
Feb-20,British Columbia,5,0
Feb-21,British Columbia,6,0
Feb-22,British Columbia,6,0
Feb-23,British Columbia,6,0
Feb-24,British Columbia,6,0
Feb-25,British Columbia,7,0
Feb-26,British Columbia,7,0
Feb-27,British Columbia,7,0
Feb-28,British Columbia,7,0
Feb-29,British Columbia,8,0
Mar-01,British Columbia,8,0
Mar-02,British Columbia,8,0
Mar-03,British Columbia,9,0
Mar-04,British Columbia,12,0
Mar-05,British Columbia,13,0
Mar-06,British Columbia,21,0
Mar-07,British Columbia,21,0
Mar-08,British Columbia,27,0
Mar-09,British Columbia,32,1
Mar-10,British Columbia,32,1
Mar-11,British Columbia,39,1
Mar-12,British Columbia,46,1
Mar-13,British Columbia,64,1
Mar-14,British Columbia,64,1
Mar-15,British Columbia,73,1
Mar-16,British Columbia,103,4
Mar-17,British Columbia,103,4
Mar-18,British Columbia,186,7
Mar-19,British Columbia,231,7
Mar-20,British Columbia,271,8
Mar-21,British Columbia,424,10
Mar-22,British Columbia,424,10
Mar-23,British Columbia,472,13
Mar-24,British Columbia,617,13
Mar-25,British Columbia,617,13
Mar-26,British Columbia,725,14
Mar-27,British Columbia,725,14
Mar-28,British Columbia,884,17
Mar-29,British Columbia,884,17
Mar-30,British Columbia,970,19
Mar-31,British Columbia,1013,24
Apr-01,British Columbia,1013,24
Apr-02,British Columbia,1121,31
Apr-03,British Columbia,1174,31
Apr-04,British Columbia,1203,38
Apr-05,British Columbia,1203,38
Apr-06,British Columbia,1266,38
Apr-07,British Columbia,1266,39
Apr-08,British Columbia,1291,43
Apr-09,British Columbia,1336,48
Apr-10,British Columbia,1370,50
Apr-11,British Columbia,1445,58
Apr-12,British Columbia,1445,58
Apr-13,British Columbia,1490,69
Apr-14,British Columbia,1490,69
Apr-15,British Columbia,1517,72
Apr-16,British Columbia,1561,75
Apr-17,British Columbia,1575,77
Apr-18,British Columbia,1618,78
Apr-19,British Columbia,1647,81
Apr-20,British Columbia,1647,82
Apr-21,British Columbia,1724,87
Apr-22,British Columbia,1795,90
Apr-23,British Columbia,1824,94
Apr-24,British Columbia,1853,98
Apr-25,British Columbia,1948,100
Apr-26,British Columbia,1948,100
Apr-27,British Columbia,1998,104
Apr-28,British Columbia,2053,106
Apr-29,British Columbia,2087,109
Apr-30,British Columbia,2112,111
May-01,British Columbia,2145,112
May-02,British Columbia,2171,114
May-03,British Columbia,2171,114
May-04,British Columbia,2224,117
May-05,British Columbia,2232,121
May-06,British Columbia,2255,124
May-07,British Columbia,2288,126
May-08,British Columbia,2315,127
May-09,British Columbia,2330,129
May-10,British Columbia,2330,129
May-11,British Columbia,2353,130
May-12,British Columbia,2360,132
May-13,British Columbia,2376,132
May-14,British Columbia,2392,135
May-15,British Columbia,2407,140
May-16,British Columbia,2428,141
May-17,British Columbia,2428,141
May-18,British Columbia,2444,143
May-19,British Columbia,2446,146
May-20,British Columbia,2467,149
May-21,British Columbia,2479,152
May-22,British Columbia,2507,155
May-23,British Columbia,2517,157
May-24,British Columbia,2517,157
May-25,British Columbia,2530,161
May-26,British Columbia,2541,161
May-27,British Columbia,2550,162
May-28,British Columbia,2558,164
May-29,British Columbia,2562,164
May-30,British Columbia,2573,164
May-31,British Columbia,2573,164
Jun-01,British Columbia,2597,165
Jun-02,British Columbia,2601,165
Jun-03,British Columbia,2623,166
Jun-04,British Columbia,2632,166
Jun-05,British Columbia,2632,167
Jun-06,British Columbia,2632,167
Jun-07,British Columbia,2632,167
Jun-08,British Columbia,2659,167
Jan-22,Manitoba,0,0
Jan-23,Manitoba,0,0
Jan-24,Manitoba,0,0
Jan-25,Manitoba,0,0
Jan-26,Manitoba,0,0
Jan-27,Manitoba,0,0
Jan-28,Manitoba,0,0
Jan-29,Manitoba,0,0
Jan-30,Manitoba,0,0
