Date,Province,Confirmed,Deaths
Jan-22,Alberta,null,null
Jan-23,Alberta,null,null
Jan-24,Alberta,null,null
Jan-25,Alberta,null,null
Jan-26,Alberta,null,null
Jan-27,Alberta,null,null
Jan-28,Alberta,null,null
Jan-29,Alberta,null,null
Jan-30,Alberta,null,null
Jan-31,Alberta,null,null
Feb-01,Alberta,null,null
Feb-02,Alberta,null,null
Feb-03,Alberta,null,null
Feb-04,Alberta,null,null
Feb-05,Alberta,null,null
Feb-06,Alberta,null,null
Feb-07,Alberta,null,null
Feb-08,Alberta,null,null
Feb-09,Alberta,null,null
Feb-10,Alberta,null,null
Feb-11,Alberta,null,null
Feb-12,Alberta,null,null
Feb-13,Alberta,null,null
Feb-14,Alberta,null,null
Feb-15,Alberta,null,null
Feb-16,Alberta,null,null
Feb-17,Alberta,null,null
Feb-18,Alberta,null,null
Feb-19,Alberta,null,null
Feb-20,Alberta,null,null
Feb-21,Alberta,null,null
Feb-22,Alberta,null,null
Feb-23,Alberta,null,null
Feb-24,Alberta,null,null
Feb-25,Alberta,null,null
Feb-26,Alberta,null,null
Feb-27,Alberta,null,null
Feb-28,Alberta,null,null
Feb-29,Alberta,null,null
Mar-01,Alberta,null,null
Mar-02,Alberta,null,null
Mar-03,Alberta,null,null
Mar-04,Alberta,null,null
Mar-05,Alberta,null,null
Mar-06,Alberta,0.0,null
Mar-07,Alberta,0.3010299956639812,null
Mar-08,Alberta,0.6020599913279624,null
Mar-09,Alberta,0.8450980400142568,null
Mar-10,Alberta,0.8450980400142568,null
Mar-11,Alberta,1.2787536009528289,null
Mar-12,Alberta,1.2787536009528289,null
Mar-13,Alberta,1.462397997898956,null
Mar-14,Alberta,1.462397997898956,null
Mar-15,Alberta,1.591064607026499,null
Mar-16,Alberta,1.7481880270062005,null
Mar-17,Alberta,1.8692317197309762,null
Mar-18,Alberta,1.9867717342662448,null
Mar-19,Alberta,2.0755469613925306,null
Mar-20,Alberta,2.164352855784437,0.0
Mar-21,Alberta,2.290034611362518,0.0
Mar-22,Alberta,2.413299764081252,0.0
Mar-23,Alberta,2.4785664955938436,0.0
Mar-24,Alberta,2.5550944485783194,0.0
Mar-25,Alberta,2.5538830266438746,0.3010299956639812
Mar-26,Alberta,2.6866362692622934,0.3010299956639812
