Product,Week,2018,2019,2020,2021,,
Chemicals,Week 1 (Dec-27),10542,12187,11367,11900,,
Chemicals,Week 2 (Jan-03),11989,13332,11471,null,,
Chemicals,Week 3 (Jan-10),11367,12754,10358,null,,
Chemicals,Week 4 (Jan-17),12699,12597,11797,null,,
Chemicals,Week 5 (Jan-24),10782,12647,12290,null,,
Chemicals,Week 6 (Jan-31),12479,11106,10777,null,,
Chemicals,Week 7 (Feb-07),12194,11633,12295,null,,s
Chemicals,Week 8 (Feb-14),11720,10771,12220,null,,
Chemicals,Week 9 (Feb-21),13486,12596,13105,null,,
Chemicals,Week 10 (Feb-28),12288,11538,12297,null,,
Chemicals,Week 11 (Mar-07),12778,12326,12807,null,,
Chemicals,Week 12 (Mar-14),12394,12179,13528,null,,
Chemicals,Week 13 (Mar-21),12292,13751,13088,null,,
Chemicals,Week 14 (Mar-28),11767,13021,12721,null,,
Chemicals,Week 15 (Apr-04),12604,12275,11919,null,,
Chemicals,Week 16 (Apr-11),12119,12664,12481,null,,
Chemicals,Week 17 (Apr-18),13211,13132,12725,null,,
Chemicals,Week 18 (Apr-25),12834,13504,11926,null,,
Chemicals,Week 19 (May-2),12987,12215,12225,null,,
Chemicals,Week 20 (May-09),13396,13360,12204,null,,
Chemicals,Week 21 (May-16),11989,14050,11138,null,,
Chemicals,Week 22 (May-23),11192,12058,12299,null,,
Chemicals,Week 23 (May-30),11898,11956,11137,null,,
Chemicals,Week 24 (June-6),12197,12102,11509,null,,
Chemicals,Week 25 (June-13),12467,12875,11983,null,,
Chemicals,Week 26 (June-20),12248,12563,11935,null,,
Chemicals,Week 27 (Jun-27),11828,12048,11512,null,,
Chemicals,Week 28 (Jul-04),12545,11261,11390,null,,
Chemicals,Week 29 (Jul-11),12410,11919,10776,null,,
Chemicals,Week 30 (Jul-18),11664,12463,11592,null,,
Chemicals,Week 31 (Jul-25),11851,11327,11970,null,,
Chemicals,Week 32 (Aug-01),12238,12328,10763,null,,
Chemicals,Week 33 (Aug-08),12549,12615,12313,null,,
Chemicals,Week 34 (Aug-15),12925,11528,10472,null,,
Chemicals,Week 35(Aug-24),12827,13132,11748,null,,
Chemicals,Week 36(Aug-29),13081,11189,12425,null,,
Chemicals,Week 37(Sep-05),12448,11111,11629,null,,
Chemicals,Week 38(Sep-12),12482,11452,12136,null,,
Chemicals,Week 39(Sep-19),14062,11822,12233,null,,
Chemicals,Week 40(Sep-26),12106,10867,12673,null,,
Chemicals,Week 41(Oct-03),11746,10483,11620,null,,
Chemicals,Week 42 (Oct-10),12366,10670,12426,null,,
Chemicals,Week 43 (Oct-17),12767,10910,10496,null,,
Chemicals,Week 44 (Oct-24),12226,10872,11658,null,,
Chemicals,Week 45 (Oct-31),13082,11583,10468,null,,
Chemicals,Week 46 (Nov-07),12499,11121,11567,null,,
Chemicals,Week 47 (Nov-14),12871,9761,11172,null,,
Chemicals,Week 48 (Nov-21),14092,10068,12433,null,,
Chemicals,Week 49 (Nov-28),12108,12567,12249,null,,
Chemicals,Week 50 (Dec-05),13831,11736,12967,null,,
Chemicals,Week 51 (Dec-12),13999,12249,11820,null,,
Chemicals,Week 52 (Dec-19),11874,11010,12114,null,,
Coal,Week 1 (Dec-27),6512,7691,7045,6483,,
Coal,Week 2 (Jan-03),6535,7777,7423,null,,
Coal,Week 3 (Jan-10),7345,8043,3980,null,,
Coal,Week 4 (Jan-17),7217,8689,5317,null,,
Coal,Week 5 (Jan-24),7506,8797,6641,null,,
Coal,Week 6 (Jan-31),6193,7109,4746,null,,
Coal,Week 7 (Feb-07),6522,6287,5155,null,,
Coal,Week 8 (Feb-14),5519,7489,6421,null,,
Coal,Week 9 (Feb-21),6217,8318,7000,null,,
Coal,Week 10 (Feb-28),6773,7220,8414,null,,
Coal,Week 11 (Mar-07),7604,7357,7963,null,,
Coal,Week 12 (Mar-14),7923,8303,7892,null,,
Coal,Week 13 (Mar-21),8146,7848,7703,null,,
Coal,Week 14 (Mar-28),9070,8100,7105,null,,
