region,week,2017,2018,2019,2020,2021
Ontario,Week 1 (Jan-5),54.31,59.41,60.73,60.06,52.59
Ontario,Week 2 (Jan-12),45.3,57.48,62.51,58.14,51.27
Ontario,Week 3 (Jan-19),46.63,57.31,62.78,57.77,50.51
Ontario,Week 4 (Jan-26),50.66,57.51,61.51,56.96,48.91
Ontario,Week 5 (Feb-02),51.57,57.93,52.49,55.06,45.17
Ontario,Week 6 (Feb-09),54.32,58.29,43.07,55.13,47
Ontario,Week 7 (Feb-16),52.92,59.1,58.74,51.95,47.39
Ontario,Week 8 (Feb-23),54.8,59.79,61.32,54.11,49.78
Ontario,Week 9 (Mar-02),55.05,57.38,60.06,55.68,null
Ontario,Week 10 (Mar-09),47.31,59.77,60.07,55.56,null
Ontario,Week 11 (Mar-16),54.46,60.05,59.38,57.48,null
Ontario,Week 12 (Mar-23),56.12,58.9,57.75,50.63,null
Ontario,Week 13 (Mar-30),54.93,57.37,49.66,40.55,null
Ontario,Week 14 (Apr-06),52.51,58.61,47.6,31.8,null
Ontario,Week 15 (Apr-13),56.56,62.46,43.67,31.02,null
Ontario,Week 16 (Apr-20),55.71,55.86,42.72,36.38,null
Ontario,Week 17 (Apr-27),56.28,47.61,38.18,42.85,null
Ontario,Week 18 (May-4),57.34,50.27,39.66,40.85,null
Ontario,Week 19 (May-11),55.13,51.44,40,45.34,null
Ontario,Week 20 (May-18),50.26,48.55,47.28,45.82,null
Ontario,Week 21 (May-25),49.13,50.26,47.21,45.13,null
Ontario,Week 22 (June 1),49.7,51.15,48.79,48.41,null
Ontario,Week 23 (June 8),49.4,55.56,53.06,51.94,null
Ontario,Week 24 (June 15),49.85,60.31,54.72,46.86,null
Ontario,Week 25 (June 22),48.85,62.51,57.89,43.74,null
Ontario,Week 26 (June 29),49.15,61.08,59.02,48.81,null
Ontario,Week 27 (July 6),49.79,59.04,57.94,49.27,null
Ontario,Week 28 (July 13),49.85,60.95,58.22,53.23,null
Ontario,Week 29 (July 20),50.04,61.17,59.76,53.13,null
Ontario,Week 30 (July 27),56.57,61.25,59.19,54.05,null
Ontario,Week 31 (Aug-03),58.04,61.31,59.44,52.14,null
Ontario,Week 32 (Aug-10),56.56,61.45,52.55,49.93,null
Ontario,Week 33 (Aug-17),55.9,61.19,59.86,51.71,null
Ontario,Week 34 (Aug-24),56.91,61.37,60.25,51.7,null
Ontario,Week 35 (Aug-31),56.25,60.84,60.15,51.13,null
Ontario,Week 36 (Sep-07),56.61,61.81,59.41,54.31,null
Ontario,Week 37 (Sep-14),55.29,59.93,48.13,49.17,null
Ontario,Week 38 (Sep-21),53.44,61.54,41.72,44.6,null
Ontario,Week 39 (Sep-28),38.91,58.85,37.6,42.56,null
Ontario,Week 40 (Oct-05),40.25,53.7,38.31,48.64,null
Ontario,Week 41 (Oct-12),39.28,53.84,40.02,49.21,null
Ontario,Week 42 (Oct-19),39.53,58.45,42.36,51.42,null
Ontario,Week 43 (Oct-26),38.17,61.87,42.5,48.25,null
Ontario,Week 44 (Nov-02),51.48,59.82,41.5,51.99,null
Ontario,Week 45 (Nov-09),56.15,60.97,42.11,51.95,null
Ontario,Week 46 (Nov-16),55.45,61.99,42.45,51.09,null
Ontario,Week 47 (Nov-23),56.21,60.9,45.66,52.74,null
Ontario,Week 48 (Nov-30),57.11,62.3,57.24,52.14,null
Ontario,Week 49 (Dec-07),55.69,59.77,58.64,54.54,null
Ontario,Week 50 (Dec-14),55.48,61.6,59.4,52.77,null
Ontario,Week 51 (Dec-21),57.75,60.54,59.08,52.48,null
Ontario,Week 52 (Dec-28),61.26,61.61,59.81,51.45,null
East,Week 1 (Jan-5),123.97,115.86,109.13,115.94,97.61
East,Week 2 (Jan-12),124.03,120.04,111.38,123.36,95.9
East,Week 3 (Jan-19),125.63,122.7,112.94,123.5,92.19
East,Week 4 (Jan-26),122.32,119.24,113.73,124.7,93.36
East,Week 5 (Feb-02),124.19,119.25,112.41,123.04,94.29
East,Week 6 (Feb-09),122.58,121.61,113.74,121.57,96.72
East,Week 7 (Feb-16),118.77,122.65,110.79,122.11,99.83
East,Week 8 (Feb-23),116.7,124.09,114.83,121.96,101.79
East,Week 9 (Mar-02),108.67,123.61,118.64,123.9,null
East,Week 10 (Mar-09),119.11,123.86,110.06,124.24,null
East,Week 11 (Mar-16),123.87,122.97,108.35,123.32,null
East,Week 12 (Mar-23),121.76,121.26,117.77,105.52,null
East,Week 13 (Mar-30),124.61,124.8,110.04,97.1,null
East,Week 14 (Apr-06),120.72,123.2,117.73,79.64,null
East,Week 15 (Apr-13),128.01,122.06,117.71,77.94,null
East,Week 16 (Apr-20),128.46,88.6,109.76,71.76,null
East,Week 17 (Apr-27),123,83.27,107.01,70.64,null
East,Week 18 (May-4),123.83,84.43,106.76,72.84,null
East,Week 19 (May-11),124.71,88.1,105.64,84.2,null
East,Week 20 (May-18),125.7,84.31,107.95,84.33,null
East,Week 21 (May-25),124.51,75.4,110.66,84,null
East,Week 22 (June 1),125.77,93.15,112.12,80.42,null
East,Week 23 (June 8),125.03,106.86,120.15,79.63,null
East,Week 24 (June 15),123.05,114.85,121.59,83.03,null
East,Week 25 (June 22),127.94,114.5,121.78,86.54,null
East,Week 26 (June 29),126.61,116.13,121.99,87.15,null
East,Week 27 (July 6),126.07,118.29,117.97,94.34,null
East,Week 28 (July 13),124.02,118.63,113.86,94.18,null
East,Week 29 (July 20),124.22,121.38,113.87,95.63,null
East,Week 30 (July 27),124.21,119.35,109.96,95.14,null
East,Week 31 (Aug-03),125.14,114.09,118.46,95.1,null
East,Week 32 (Aug-10),121.51,121.31,118.36,78.32,null
East,Week 33 (Aug-17),123.2,119.92,121.66,76.24,null
East,Week 34 (Aug-24),118.67,120.56,125.28,76.28,null
East,Week 35 (Aug-31),118.77,116.7,119.83,92.47,null
East,Week 36 (Sep-07),126.34,120.85,124.47,96.71,null
East,Week 37 (Sep-14),127.05,115.55,118.78,94.21,null
East,Week 38 (Sep-21),126.42,113.13,119.74,96.71,null
