Date,Global,Australia,Canada,Germany,Ireland,Mexico,United Kingdom,United States,Alberta,British Columbia,Manitoba,Ontario,Quebec
2/18,-1.0,-3.0,-5.0,11.0,2.0,-5.0,1.0,0.0,2.0,8.0,-97.89,-16.0,6.0
2/19,3.0,-6.0,0.0,4.0,0.0,-5.0,-1.0,4.0,10.0,-3.0,-94.76,-4.0,9.0
2/20,-1.0,-3.0,-3.0,3.0,4.0,-4.0,-2.0,0.0,2.0,1.0,-96.36,-6.0,-4.0
2/21,-2.0,-1.0,-2.0,5.0,1.0,-3.0,0.0,-1.0,1.0,6.0,,-7.0,-5.0
2/22,1.0,0.0,-1.0,1.0,-3.0,-1.0,-1.0,2.0,5.0,3.0,,-5.0,5.0
2/23,4.0,0.0,8.0,2.0,4.0,2.0,-4.0,6.0,0.0,-2.0,,14.0,29.0
2/24,1.0,0.0,-2.0,11.0,-9.0,-1.0,-6.0,2.0,-1.0,-3.0,,-2.0,14.0
2/25,1.0,-2.0,-3.0,4.0,-8.0,-3.0,-5.0,2.0,3.0,-5.0,,-6.0,20.0
2/26,-2.0,-2.0,1.0,5.0,-10.0,-9.0,-5.0,-1.0,-1.0,0.0,,5.0,-1.0
2/27,-3.0,-7.0,-12.0,5.0,-2.0,-7.0,-8.0,-1.0,-4.0,-4.0,,-21.0,-11.0
2/28,-1.0,0.0,-8.0,11.0,-10.0,-10.0,-2.0,1.0,3.0,-2.0,,-15.0,-10.0
2/29,1.0,-1.0,-4.0,7.0,-13.0,-5.0,-3.0,3.0,2.0,-2.0,,-8.0,1.0
3/1,0.0,4.0,-7.0,9.0,10.0,-7.0,-2.0,2.0,-4.0,-8.0,,-9.0,1.0
3/2,-8.0,-12.0,-12.0,-8.0,-6.0,-7.0,-7.0,-7.0,-10.0,-11.0,,-9.0,-26.0
3/3,-9.0,-6.0,-7.0,0.0,-7.0,-10.0,-11.0,-9.0,-4.0,-7.0,,-6.0,-16.0
3/4,-6.0,-12.0,-2.0,-4.0,-1.0,-6.0,-9.0,-5.0,-1.0,-4.0,,-1.0,5.0
3/5,-7.0,-8.0,-4.0,-6.0,-15.0,-6.0,-12.0,-5.0,-8.0,-6.0,,-2.0,-3.0
3/6,-7.0,-6.0,-8.0,-7.0,-13.0,-8.0,-5.0,-6.0,1.0,-6.0,,-14.0,-8.0
3/7,-4.0,-3.0,-9.0,4.0,-5.0,-2.0,-3.0,-3.0,-16.0,-11.0,,-7.0,6.0
3/8,-3.0,-4.0,-1.0,11.0,4.0,-5.0,1.0,-2.0,-7.0,-6.0,,0.0,34.0
3/9,-14.0,-10.0,-13.0,-10.0,-10.0,-19.0,-18.0,-14.0,-13.0,-3.0,,-20.0,-4.0
3/10,-18.0,-4.0,-18.0,-16.0,-28.0,-16.0,-17.0,-18.0,-10.0,-15.0,,-23.0,-12.0
3/11,-19.0,-10.0,-19.0,-11.0,-27.0,-15.0,-14.0,-19.0,-8.0,-13.0,,-25.0,-20.0
3/12,-28.0,-12.0,-28.0,-17.0,-46.0,-16.0,-24.0,-28.0,-23.0,-21.0,,-35.0,-26.0
3/13,-36.0,-8.0,-40.0,-28.0,-51.0,-16.0,-26.0,-36.0,-43.0,-30.0,,-45.0,-48.0
3/14,-40.0,-11.0,-41.0,-38.0,-52.0,-21.0,-20.0,-42.0,-44.0,-30.0,,-48.0,-44.0
3/15,-47.0,-12.0,-47.0,-46.0,-75.0,-35.0,-31.0,-48.0,-49.0,-38.0,,-53.0,-46.0
3/16,-56.0,-30.0,-60.0,-63.0,-70.0,-48.0,-52.0,-56.0,-65.0,-54.0,,-66.0,-67.0
3/17,-83.0,-43.0,-94.0,-90.0,-86.0,-62.0,-82.0,-84.0,-89.0,-92.0,,-100.0,-94.0
3/18,-89.0,-50.0,-97.0,-95.0,-97.0,-73.0,-88.0,-91.0,-96.0,-97.0,,-100.0,-97.0
3/19,-96.03,-53.0,-99.47,-98.36,-98.55,-78.41,-91.08,-97.54,-98.49,-99.58,,-100.0,-98.9
3/20,-97.94,-51.67,-99.72,-98.79,-99.08,-85.12,-93.93,-99.35,-99.13,-99.81,,-100.0,-99.43
3/21,-98.96,-53.61,-99.89,-99.78,-98.76,-90.81,-99.96,-99.89,-99.65,-99.96,,-100.0,-99.64
3/22,-99.24,-65.53,-99.94,-99.96,-98.31,-95.2,-99.99,-99.93,-99.81,-100.0,,-100.0,-99.64
3/23,-99.68,-99.82,-99.97,-100.0,-100.0,-94.6,-100.0,-99.97,-99.84,-100.0,,-100.0,-100.0
3/24,-99.72,-100.0,-99.99,-100.0,-99.55,-95.81,-100.0,-99.97,-99.96,-100.0,,-100.0,-100.0
3/25,-99.75,-100.0,-99.97,-100.0,-100.0,-96.6,-100.0,-99.98,-99.82,-100.0,,-100.0,-100.0
3/26,-99.79,-100.0,-99.98,-100.0,-100.0,-97.33,-100.0,-99.98,-99.9,-100.0,,-100.0,-100.0
3/27,-99.83,-100.0,-99.98,-100.0,-100.0,-97.12,-100.0,-99.99,-99.91,-100.0,,-100.0,-100.0
3/28,-99.85,-100.0,-100.0,-100.0,-100.0,-97.09,-100.0,-99.98,-100.0,-100.0,,-100.0,-100.0
3/29,-99.89,-100.0,-100.0,-100.0,-100.0,-98.51,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0
3/30,-99.83,-100.0,-100.0,-100.0,-100.0,-97.87,-100.0,-99.99,-100.0,-100.0,,-100.0,-100.0
3/31,-99.87,-100.0,-100.0,-100.0,-100.0,-98.7,-100.0,-99.99,-100.0,-100.0,,-100.0,-100.0
4/1,-99.91,-100.0,-100.0,-100.0,-100.0,-99.24,-100.0,-99.99,-100.0,-100.0,,-100.0,-100.0
4/2,-99.92,-100.0,-100.0,-100.0,-100.0,-99.62,-100.0,-99.98,-100.0,-100.0,,-100.0,-100.0
