Week,2017,2018,2019,2020,2021
Week 1 (Jan-3),204,172,74,82,null
Week 2 (Jan-10),313,275,181,200,null
Week 3 (Jan-17),341,324,206,242,null
Week 4 (Jan-24),345,337,230,242,null
Week 5 (Jan-31),342,340,241,246,null
Week 6 (Feb-7),350,324,238,256,null
Week 7 (Feb-14),330,317,222,253,null
Week 8 (Feb-21),339,303,211,241,null
Week 9 (Feb-28),334,299,211,237,null
Week 10 (Mar-6),314,270,189,200,null
Week 11 (Mar-13),275,215,160,173,null
Week 12 (Mar-20),184,157,104,96,null
Week 13 (Mar-27),154,134,87,54,null
Week 14 (Apr-3),131,109,67,40,null
Week 15 (Apr-10),118,100,64,34,null
Week 16 (Apr-17),99,90,64,29,null
Week 17 (Apr-24),85,81,61,26,null
Week 18 (May-1),81,82,58,27,null
Week 19 (May-8),79,77,59,26,null
Week 20 (May-15),83,79,59,23,null
Week 21 (May-22),90,80,75,21,null
Week 22 (May-29),96,97,83,20,null
Week 23 (Jun-5),129,110,101,21,null
Week 24 (Jun-12),156,136,104,21,null
Week 25 (Jun-19),169,158,116,17,null
Week 26 (Jun-26),188,168,122,13,null
Week 27 (Jul-3),174,179,116,18,null
Week 28 (Jul-10),191,194,114,26,null
Week 29 (Jul-17),206,208,116,32,null
Week 30 (Jul-24),218,221,125,42,null
Week 31 (Jul-31),216,221,134,45,null
Week 32 (Aug-07),217,207,137,47,null
Week 33 (Aug-14),212,211,139,54,null
Week 34 (Aug-21),216,228,136,56,null
Week 35(Aug-28),200,227,148,52,null
Week 36(Sep-04),202,202,146,52,null
Week 37(Sep-11),212,224,134,52,null
Week 38(Sep-18),218,195,119,64,null
Week 39(Sep-25),211,176,126,71,null
Week 40(Oct-02),207,179,143,75,null
Week 41(Oct-09),210,192,144,80,null
Week 42 (Oct-16),200,190,140,80,null
Week 43 (Oct-23),189,198,144,83,null
Week 44 (Oct-30),191,195,140,86,null
Week 45 (Nov-06),201,193,138,89,null
Week 46 ( Nov-13),207,195,132,101,null
Week 47 (Nov-20),214,202,135,102,null
Week 48 (Nov-27),221,197,124,102,null
Week 49 (Dec-04),218,184,136,111,null
Week 50 (Dec-11),237,172,151,102,null
Week 51 (Dec-18),208,130,147,82,null
Week 52 (Dec-25),134,68,96,59,null
